Season,Matchday,HomeTeam,AwayTeam,HTG,ATG
1993-1994,1,FC NANTES,AS MONACO,1,0
1993-1994,1,FC SOCHAUX-MONTBÉLIARD,ANGERS SCO,4,1
1993-1994,1,AS SAINT-ÉTIENNE,A.S. CANNES,1,2
1993-1994,1,FC GIRONDINS DE BORDEAUX,PARIS SAINT-GERMAIN,1,0
1993-1994,1,OLYMPIQUE DE MARSEILLE,RC LENS,1,0
1993-1994,1,RC STRASBOURG ALSACE,AJ AUXERRE,1,1
1993-1994,1,STADE MALHERBE CAEN,FC METZ,1,1
1993-1994,1,LOSC LILLE,F.C. MARTIGUES,1,1
1993-1994,1,MONTPELLIER HÉRAULT SC,OLYMPIQUE LYONNAIS,1,1
1993-1994,1,TOULOUSE FC,HAVRE AC,0,0
1993-1994,2,HAVRE AC,FC GIRONDINS DE BORDEAUX,0,3
1993-1994,2,FC NANTES,AS SAINT-ÉTIENNE,1,0
1993-1994,2,F.C. MARTIGUES,FC SOCHAUX-MONTBÉLIARD,1,1
1993-1994,2,AJ AUXERRE,MONTPELLIER HÉRAULT SC,3,1
1993-1994,2,FC METZ,ANGERS SCO,2,0
1993-1994,2,OLYMPIQUE LYONNAIS,STADE MALHERBE CAEN,2,0
1993-1994,2,AS MONACO,TOULOUSE FC,3,0
1993-1994,2,PARIS SAINT-GERMAIN,LOSC LILLE,2,1
1993-1994,2,RC LENS,RC STRASBOURG ALSACE,0,0
1993-1994,2,A.S. CANNES,OLYMPIQUE DE MARSEILLE,2,1
1993-1994,3,LOSC LILLE,RC LENS,0,0
1993-1994,3,TOULOUSE FC,FC NANTES,0,3
1993-1994,3,FC SOCHAUX-MONTBÉLIARD,FC METZ,2,1
1993-1994,3,FC GIRONDINS DE BORDEAUX,A.S. CANNES,0,0
1993-1994,3,STADE MALHERBE CAEN,AJ AUXERRE,1,0
1993-1994,3,ANGERS SCO,OLYMPIQUE LYONNAIS,3,1
1993-1994,3,RC STRASBOURG ALSACE,PARIS SAINT-GERMAIN,2,2
1993-1994,3,OLYMPIQUE DE MARSEILLE,HAVRE AC,1,1
1993-1994,3,MONTPELLIER HÉRAULT SC,F.C. MARTIGUES,1,0
1993-1994,3,AS SAINT-ÉTIENNE,AS MONACO,2,0
1993-1994,4,AS MONACO,FC GIRONDINS DE BORDEAUX,3,2
1993-1994,4,FC NANTES,OLYMPIQUE DE MARSEILLE,0,0
1993-1994,4,A.S. CANNES,LOSC LILLE,2,1
1993-1994,4,PARIS SAINT-GERMAIN,FC SOCHAUX-MONTBÉLIARD,1,0
1993-1994,4,OLYMPIQUE LYONNAIS,FC METZ,2,0
1993-1994,4,F.C. MARTIGUES,STADE MALHERBE CAEN,4,1
1993-1994,4,AJ AUXERRE,ANGERS SCO,0,0
1993-1994,4,RC LENS,MONTPELLIER HÉRAULT SC,2,1
1993-1994,4,HAVRE AC,AS SAINT-ÉTIENNE,0,0
1993-1994,4,TOULOUSE FC,RC STRASBOURG ALSACE,0,0
1993-1994,5,RC STRASBOURG ALSACE,A.S. CANNES,2,2
1993-1994,5,FC GIRONDINS DE BORDEAUX,FC NANTES,2,0
1993-1994,5,FC SOCHAUX-MONTBÉLIARD,OLYMPIQUE LYONNAIS,0,1
1993-1994,5,MONTPELLIER HÉRAULT SC,AS MONACO,0,3
1993-1994,5,ANGERS SCO,F.C. MARTIGUES,1,3
1993-1994,5,STADE MALHERBE CAEN,RC LENS,1,0
1993-1994,5,FC METZ,AJ AUXERRE,0,0
1993-1994,5,AS SAINT-ÉTIENNE,TOULOUSE FC,2,2
1993-1994,5,LOSC LILLE,HAVRE AC,2,2
