Rank,Team,Games,Wins,Draws,Defeats,GF,GA,Diff,Points
1,PARIS SAINT-GERMAIN,38,24,11,3,54,22,32,59
2,OLYMPIQUE DE MARSEILLE,38,19,13,6,56,33,23,51
3,AJ AUXERRE,38,18,10,10,54,29,25,46
4,FC GIRONDINS DE BORDEAUX,38,19,8,11,54,37,17,46
5,FC NANTES,38,17,11,10,47,32,15,45
6,A.S. CANNES,38,16,12,10,50,43,7,44
7,MONTPELLIER HÉRAULT SC,38,15,13,10,41,37,4,43
8,OLYMPIQUE LYONNAIS,38,17,8,13,38,40,-2,42
9,AS MONACO,38,14,13,11,52,36,16,41
10,RC LENS,38,13,13,12,49,40,9,39
11,AS SAINT-ÉTIENNE,38,12,13,13,38,36,2,37
12,FC METZ,38,12,13,13,36,35,1,37
13,RC STRASBOURG ALSACE,38,10,14,14,43,47,-4,34
14,FC SOCHAUX-MONTBÉLIARD,38,10,13,15,39,48,-9,33
15,LOSC LILLE,38,8,16,14,41,52,-11,32
16,STADE MALHERBE CAEN,38,12,7,19,29,54,-25,31
17,HAVRE AC,38,7,15,16,29,48,-19,29
18,F.C. MARTIGUES,38,5,17,16,37,58,-21,27
19,TOULOUSE FC,38,4,15,19,26,60,-34,23
20,ANGERS SCO,38,4,13,21,37,63,-26,21
21,OGC NICE,0,0,0,0,0,0,0,0
22,STADE RENNAIS FC,0,0,0,0,0,0,0,0
23,S.C. BASTIAIS,0,0,0,0,0,0,0,0
24,EN AVANT GUINGAMP,0,0,0,0,0,0,0,0
25,F.C. GUEUGNON,0,0,0,0,0,0,0,0
26,AS NANCY LORRAINE,0,0,0,0,0,0,0,0
27,CHÂTEAUROUX,0,0,0,0,0,0,0,0
28,FC LORIENT,0,0,0,0,0,0,0,0
29,ESTAC TROYES,0,0,0,0,0,0,0,0
30,C.S. SEDAN ARDENNES,0,0,0,0,0,0,0,0
31,AC AJACCIO,0,0,0,0,0,0,0,0
32,LE MANS FC,0,0,0,0,0,0,0,0
33,F.C. ISTRES OUEST PROVENCE,0,0,0,0,0,0,0,0
34,VALENCIENNES FC,0,0,0,0,0,0,0,0
35,GRENOBLE FOOT 38,0,0,0,0,0,0,0,0
36,U.S. BOULOGNE COTE D'OPALE,0,0,0,0,0,0,0,0
37,STADE BRESTOIS 29,0,0,0,0,0,0,0,0
38,A.C. ARLES - AVIGNON,0,0,0,0,0,0,0,0
39,DIJON FCO,0,0,0,0,0,0,0,0
40,EVIAN THONON GAILLARD F. C.,0,0,0,0,0,0,0,0
41,STADE DE REIMS,0,0,0,0,0,0,0,0
42,GAZELEC FC AJACCIO,0,0,0,0,0,0,0,0
43,AMIENS SC,0,0,0,0,0,0,0,0
44,NÎMES OLYMPIQUE,0,0,0,0,0,0,0,0
45,CLERMONT FOOT 63,0,0,0,0,0,0,0,0
