Rank,Team,Games,Wins,Draws,Defeats,GF,GA,Diff,Points
1,PARIS SAINT-GERMAIN,1068,563,270,235,1816,983,833,1959
2,OLYMPIQUE LYONNAIS,1069,552,278,239,1755,1094,661,1934
3,OLYMPIQUE DE MARSEILLE,993,453,277,263,1416,1064,352,1636
4,AS MONACO,993,452,277,264,1504,1049,455,1633
5,FC GIRONDINS DE BORDEAUX,1068,431,320,317,1410,1213,197,1613
6,LOSC LILLE,967,397,290,280,1219,1012,207,1481
7,STADE RENNAIS FC,1031,387,283,361,1296,1224,72,1444
8,FC NANTES,878,316,250,312,995,985,10,1198
9,OGC NICE,861,302,253,306,953,999,-46,1159
10,AS SAINT-ÉTIENNE,853,296,248,309,1010,1038,-28,1136
11,MONTPELLIER HÉRAULT SC,845,291,246,308,1024,1068,-44,1119
12,AJ AUXERRE,702,281,198,223,877,737,140,1041
13,RC LENS,737,268,228,241,894,856,38,1032
14,TOULOUSE FC,776,216,233,327,764,990,-226,881
15,FC METZ,689,201,200,288,677,892,-215,803
16,RC STRASBOURG ALSACE,654,197,192,265,756,877,-121,783
17,FC SOCHAUX-MONTBÉLIARD,600,187,170,243,641,783,-142,731
18,S.C. BASTIAIS,588,190,151,247,641,768,-127,721
19,FC LORIENT,559,165,166,228,647,790,-143,661
20,EN AVANT GUINGAMP,482,150,122,210,509,653,-144,572
21,STADE MALHERBE CAEN,494,135,133,226,498,708,-210,538
22,AS NANCY LORRAINE,448,135,126,187,459,558,-99,531
23,ESTAC TROYES,365,91,96,178,356,533,-177,369
24,STADE DE REIMS,291,86,97,108,313,368,-55,355
25,VALENCIENNES FC,304,88,88,128,334,389,-55,352
26,HAVRE AC,330,84,98,148,290,424,-134,350
27,ANGERS SCO,291,80,86,125,309,395,-86,326
28,LE MANS FC,228,65,69,94,238,301,-63,264
29,AC AJACCIO,266,59,86,121,241,381,-140,263
30,STADE BRESTOIS 29,215,59,62,94,228,294,-66,239
31,A.S. CANNES,186,59,49,78,208,242,-34,226
32,C.S. SEDAN ARDENNES,178,51,57,70,212,240,-28,210
33,DIJON FCO,218,50,56,112,222,364,-142,206
34,EVIAN THONON GAILLARD F. C.,152,45,36,71,180,221,-41,171
35,F.C. MARTIGUES,114,27,36,51,105,165,-60,117
36,NÎMES OLYMPIQUE,104,31,22,51,126,173,-47,115
37,AMIENS SC,104,25,31,48,99,144,-45,106
38,GRENOBLE FOOT 38,76,15,22,39,55,98,-43,67
39,F.C. GUEUGNON,38,8,14,16,27,46,-19,38
40,GAZELEC FC AJACCIO,38,8,13,17,37,58,-21,37
41,CLERMONT FOOT 63,35,8,9,18,35,65,-30,33
42,F.C. ISTRES OUEST PROVENCE,38,6,14,18,25,51,-26,32
43,CHÂTEAUROUX,34,8,7,19,31,59,-28,31
44,U.S. BOULOGNE COTE D'OPALE,38,7,10,21,31,62,-31,31
45,A.C. ARLES - AVIGNON,38,3,11,24,21,70,-49,20
