Rank,Team,Games,Wins,Draws,Defeats,GF,GA,Diff,Points
1,PARIS SAINT-GERMAIN,152,81,42,29,234,130,104,285
2,FC NANTES,152,68,56,28,223,140,83,260
3,AJ AUXERRE,152,72,43,37,228,125,103,259
4,AS MONACO,152,71,46,35,245,144,101,259
5,OLYMPIQUE LYONNAIS,152,62,50,40,194,169,25,236
6,FC METZ,152,63,43,46,168,139,29,232
7,FC GIRONDINS DE BORDEAUX,152,62,41,49,209,178,31,227
8,RC LENS,152,56,51,45,182,167,15,219
9,MONTPELLIER HÉRAULT SC,152,53,51,48,170,170,0,210
10,RC STRASBOURG ALSACE,152,56,41,55,184,183,1,209
11,A.S. CANNES,152,52,42,58,176,183,-7,198
12,HAVRE AC,152,40,53,59,142,185,-43,173
13,LOSC LILLE,152,38,48,66,129,204,-75,162
14,S.C. BASTIAIS,114,40,29,45,143,158,-15,149
15,STADE RENNAIS FC,114,35,37,42,137,154,-17,142
16,AS SAINT-ÉTIENNE,114,27,40,47,119,150,-31,121
17,OLYMPIQUE DE MARSEILLE,76,31,26,19,99,81,18,119
18,F.C. MARTIGUES,114,27,36,51,105,165,-60,117
19,STADE MALHERBE CAEN,114,29,29,56,102,158,-56,116
20,OGC NICE,114,28,27,59,106,164,-58,111
21,EN AVANT GUINGAMP,76,24,27,25,66,69,-3,99
22,FC SOCHAUX-MONTBÉLIARD,76,16,18,42,68,116,-48,66
23,F.C. GUEUGNON,38,8,14,16,27,46,-19,38
24,AS NANCY LORRAINE,38,9,10,19,33,51,-18,37
25,TOULOUSE FC,38,4,15,19,26,60,-34,23
26,ANGERS SCO,38,4,13,21,37,63,-26,21
27,CHÂTEAUROUX,0,0,0,0,0,0,0,0
28,FC LORIENT,0,0,0,0,0,0,0,0
29,ESTAC TROYES,0,0,0,0,0,0,0,0
30,C.S. SEDAN ARDENNES,0,0,0,0,0,0,0,0
31,AC AJACCIO,0,0,0,0,0,0,0,0
32,LE MANS FC,0,0,0,0,0,0,0,0
33,F.C. ISTRES OUEST PROVENCE,0,0,0,0,0,0,0,0
34,VALENCIENNES FC,0,0,0,0,0,0,0,0
35,GRENOBLE FOOT 38,0,0,0,0,0,0,0,0
36,U.S. BOULOGNE COTE D'OPALE,0,0,0,0,0,0,0,0
37,STADE BRESTOIS 29,0,0,0,0,0,0,0,0
38,A.C. ARLES - AVIGNON,0,0,0,0,0,0,0,0
39,DIJON FCO,0,0,0,0,0,0,0,0
40,EVIAN THONON GAILLARD F. C.,0,0,0,0,0,0,0,0
41,STADE DE REIMS,0,0,0,0,0,0,0,0
42,GAZELEC FC AJACCIO,0,0,0,0,0,0,0,0
43,AMIENS SC,0,0,0,0,0,0,0,0
44,NÎMES OLYMPIQUE,0,0,0,0,0,0,0,0
45,CLERMONT FOOT 63,0,0,0,0,0,0,0,0
